Haplotype	4-mer	7-mer	10-mer	11-mer	15-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	413337	34585	54583	1342657	0	14497	9720	6	EUR	1869378
CHM13.pat	234570	7150	5118	710530	2561	27808	24561	7	EUR	1012297
CPC_P1_2.mat	369862	32208	46062	1041648	0	3753	7452	1	EAS	1500984
CPC_P1_23.mat	187656	10726	6824	553367	12803	24050	28654	7	EAS	824079
CPC_P1_5.pat	318884	25049	58004	803193	5128	6480	5104	1	EAS	1221841
CPC_P1_50.mat	307243	39353	69935	1041444	2561	10918	7285	6	EAS	1478738
CPC_P1_51.mat	485417	32187	71636	1539722	0	21492	13645	6	EAS	2164098
CPC_P1_52.pat	278073	25046	29003	737508	5128	6992	7661	1	EAS	1089410
CPC_P1_55.mat	277413	20274	39237	763834	0	7850	14469	1	EAS	1123076
CPC_P1_9.pat	471822	26227	71648	1571551	0	24223	15693	6	EAS	2181163
HG00096.mat	369831	26230	78443	1292292	0	27294	128993	6	EUR	1923082
HG00096.pat	354192	15490	56290	1195339	2561	20463	7156	6	EUR	1651490
HG00171.mat	236600	9536	10236	769087	15366	22857	59209	7	EUR	1122890
HG00171.pat	252898	29797	46058	794852	0	19281	5620	6	EUR	1148505
HG002.mat	248167	7152	20472	825419	33293	21322	79168	7	EUR	1234992
HG002.pat	294378	25051	44356	756280	0	6308	5962	1	EUR	1132334
HG00268.mat	134616	16689	46038	556824	40973	11265	19818	7	EUR	826222
HG00268.pat	324985	44134	68240	799421	0	6824	10217	1	EUR	1253820
HG00358.mat	259714	13110	1706	767314	2561	19437	51532	7	EUR	1115373
HG00358.pat	454224	17883	34120	1810450	151054	18246	16701	7	EUR	2502677
HG00512.mat	446664	46496	90413	1370802	2561	21141	7496	6	EAS	1985572
HG00512.pat	452768	40535	81876	1521097	0	16203	5620	6	EAS	2118098
HG00513.mat	235924	14304	5118	699539	15360	31387	33477	7	EAS	1035108
HG00513.pat	166563	10726	5118	506455	10242	23032	24369	7	EAS	746504
HG00731.mat	107416	8344	1706	320900	0	4612	69424	7	AMR	512401
HG00731.pat	372582	22666	75061	923293	0	12106	11075	1	AMR	1416782
HG00732.mat	105376	8344	1706	311515	0	4612	69424	7	AMR	500976
HG00732.pat	92456	9534	1706	273958	0	5271	63122	7	AMR	446046
HG00741.mat	261083	3576	11942	827352	12805	23716	63305	7	AMR	1203778
HG00741.pat	415433	28618	39230	1292437	66527	39179	5457	2	AMR	1886880
HG00864.mat	248856	13110	0	782209	5122	13651	135140	7	EAS	1198087
HG00864.pat	346072	23856	42650	904590	10250	5458	7021	1	EAS	1339896
HG01099.mat	520087	33388	86998	1791099	0	14330	17906	6	AMR	2463807
HG01114.mat	323586	27424	61411	1076199	0	10405	11763	6	AMR	1510787
HG01114.pat	420792	51267	57995	1376402	0	18597	12099	6	AMR	1937151
HG01175.pat	237969	5961	13648	771050	12805	19787	59210	7	AMR	1120429
HG01243.mat	248795	21459	40937	1299692	0	22993	13704	5	AMR	1647579
HG01258.pat	414057	22661	52877	1254608	0	19598	9716	6	AMR	1773516
HG01352.mat	365807	21467	81888	975970	0	8700	24517	1	AMR	1478348
HG01352.pat	348728	34572	27296	1142459	0	6651	22003	6	AMR	1581708
HG01358.mat	298476	32199	35814	941597	40953	43104	16967	2	AMR	1409109
HG01358.pat	280788	26241	30708	722507	2556	5626	6947	1	AMR	1075372
HG01361.pat	496291	34576	68224	1567754	2561	35653	8319	6	AMR	2213377
HG01457.mat	459628	14292	66534	1468467	0	8872	5106	6	AMR	2022898
HG01457.pat	311411	15476	29002	1347084	87048	54917	14108	7	AMR	1859045
HG01505.mat	475217	34580	68221	1545176	2561	32391	8976	6	EUR	2167121
HG01505.pat	267866	20275	35826	741272	0	5456	7661	1	EUR	1078355
HG01573.mat	297812	19081	49475	823897	0	5631	16342	1	AMR	1212237
HG01573.pat	388916	33385	69924	1286826	58857	39022	10514	2	AMR	1887443
HG01596.mat	276722	27438	32414	733766	5128	3412	4594	1	EAS	1083473
HG01596.pat	492893	40539	51176	1582731	0	15348	7667	6	EAS	2190353
HG01890.mat	635047	8342	1706	1941635	2553	20788	7155	5	AFR	2617225
HG01890.pat	148749	91765	15354	472134	0	6990	5621	4	AFR	740612
HG01891.mat	205332	9536	8530	669592	2561	10732	50898	7	AFR	957180
HG01978.pat	389602	21467	85300	1041606	0	5972	25026	1	AMR	1568972
HG02004.mat	382809	23853	71651	1037926	0	11432	27580	1	AMR	1555250
HG02004.pat	473261	23841	104066	2003551	217649	61751	14108	7	AMR	2898226
HG02011.mat	152834	91760	15354	483310	0	6994	5621	4	AFR	755872
HG02011.pat	273966	21452	44350	1143517	10244	17213	20988	7	AFR	1531729
HG02018.mat	399095	29802	93825	1250940	2561	24874	13812	6	EAS	1814908
HG02018.pat	319576	25050	56298	906496	2561	4097	18215	1	EAS	1332292
HG02055.pat	154198	83425	13648	492719	0	9209	5621	4	AFR	758819
HG02059.mat	294399	31017	35826	769402	5128	3412	3234	1	EAS	1142417
HG02059.pat	387486	44095	81884	1275739	0	22004	12272	6	EAS	1823479
HG02071.mat	484781	28607	49450	1872412	163879	71229	25195	7	EAS	2695552
HG02080.mat	526171	62000	129647	1764724	0	23519	14828	6	EAS	2520888
HG02106.mat	490224	14294	69942	1590313	0	15525	5109	6	AMR	2185406
HG02106.pat	382794	32199	59692	1223062	74216	37139	6712	2	AMR	1815813
HG02282.mat	248863	14301	35819	890694	23049	27428	28808	7	AFR	1268961
