Haplotype	8-mer	10-mer	16-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	62484	1664165	24450	7472	86309	22654	3	EUR	1867533
CHM13.pat	81523	1589524	76090	22420	181747	29460	2	EUR	1980763
CPC_P1_15.mat	47564	675952	67935	11210	81246	25713	3	EAS	909619
CPC_P1_23.mat	63839	949100	100540	37370	102880	29861	2	EAS	1283589
CPC_P1_23.pat	69274	1164822	119563	37370	125122	29861	2	EAS	1546011
CPC_P1_28.pat	21738	577037	43488	3736	33558	19191	3	EAS	698747
CPC_P1_29.mat	59784	1799892	76055	11209	137518	23650	3	EAS	2108107
CPC_P1_29.pat	39407	1136016	108696	37369	125118	18178	2	EAS	1464783
CPC_P1_3.pat	61142	1779526	108680	18681	152243	26394	3	EAS	2146665
CPC_P1_30.mat	73377	1317793	76078	29894	131898	23678	2	EAS	1652717
CPC_P1_30.pat	91039	991876	92393	29891	149367	21980	2	EAS	1376545
CPC_P1_32.pat	39401	1322660	43488	7472	111423	25592	3	EAS	1550035
CPC_P1_35.mat	55696	1385331	67934	3734	84401	31220	2	EAS	1628315
CPC_P1_48.pat	82879	1257115	125016	37370	79613	19510	3	EAS	1601502
CPC_P1_49.pat	100541	978277	84237	33634	124257	21980	2	EAS	1342925
CPC_P1_5.mat	57064	1449986	57066	11209	77171	26046	3	EAS	1678541
CPC_P1_51.pat	72022	1346618	92394	26157	152555	23682	2	EAS	1713427
CPC_P1_52.pat	61136	1173149	59785	7473	100863	35936	3	EAS	1438341
CPC_P1_54.mat	89679	939209	84244	29895	137848	21980	2	EAS	1302854
CPC_P1_54.pat	39400	1390594	89663	33628	138841	30879	2	EAS	1723004
CPC_P1_55.pat	78813	1287417	84239	22422	135914	25085	2	EAS	1633889
CPC_P1_7.pat	70617	1400703	100552	14946	147540	23340	2	EAS	1757697
HG00171.mat	74721	1888110	105939	33628	122976	33721	3	EUR	2259094
HG00171.pat	46175	1315878	19018	3736	84275	22654	3	EUR	1491735
HG002.mat	82872	1589576	89674	18683	142463	23277	2	EUR	1946544
HG002.pat	57066	2013578	92385	37361	126094	23939	3	EUR	2350422
HG00268.mat	80172	1558649	81530	33626	143082	17500	2	EUR	1914558
HG00268.pat	61141	2057726	103235	29894	139674	30356	3	EUR	2422025
HG00358.mat	118209	1759502	73370	26152	154996	29460	2	EUR	2161688
HG00358.pat	62492	1490963	24453	3736	96503	22654	3	EUR	1700800
HG00438.mat	65208	1971301	97811	33628	125108	29259	3	EAS	2322314
HG00438.pat	66580	1239542	100551	33631	135254	20882	2	EAS	1596439
HG005.mat	44831	1108594	73376	7473	95090	28735	3	EAS	1358098
HG00512.mat	103181	1507872	95112	33631	109219	20627	2	EAS	1869641
HG00512.pat	55712	1856021	108682	41100	132886	20212	3	EAS	2214612
