Haplotype	8-mer	10-mer	12-mer	14-mer	16-mer	18-mer	20-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	248642	531848	978788	666249	655263	260034	217520	201944	493832	63166	1	NA	4317285
CHM13.pat	274465	557359	1033899	659111	666217	299841	227707	201928	512171	71630	1	NA	4504327
HG00171.mat	294831	562468	768783	559122	622610	226366	169903	127128	408862	90262	2	EUR	3830334
HG002.mat	447156	603055	524047	511467	649932	229389	217528	156995	490100	98470	3	EUR	3928138
HG002.pat	648272	888445	960336	780322	864714	299752	224344	228062	660464	165168	4	EUR	5719878
HG00358.pat	600655	944533	833876	720857	813063	290532	227726	205645	717459	154582	4	EUR	5508927
HG00438.mat	485103	823946	632118	644678	1046825	299723	251521	216782	644297	163528	3	EAS	5208520
HG00438.pat	487928	771267	778918	711345	929972	308888	271926	224273	765898	140996	3	EAS	5391410
HG005.pat	357405	451883	519927	418659	554643	177361	146135	164461	432290	124960	3	EAS	3347723
HG00513.pat	394023	592999	844177	768482	633509	195746	207325	175717	489104	64603	2	EAS	4365684
HG00621.mat	489305	718579	660615	530533	807639	211022	217534	186932	604609	116042	3	EAS	4542809
HG00673.mat	528688	783202	679058	585185	793969	253796	231155	220531	659307	108081	3	EAS	4842971
HG00673.pat	436215	548680	554569	440048	655252	192666	207291	175660	387739	105691	3	EAS	3703810
HG00731.pat	195680	445162	522032	240227	261067	82589	64561	44864	168584	40133	4	AMR	2064898
HG00735.pat	532686	684519	729847	623280	494801	299716	176730	149537	558848	118206	4	AMR	4368169
HG01099.mat	487848	725449	705533	516286	717892	186578	193769	168190	509703	63845	5	AMR	4275092
HG01099.pat	636018	985293	1001145	934937	1008854	379283	309353	287883	758890	209644	4	AMR	6511299
HG01106.pat	610142	922432	787047	694626	780418	214102	261719	209356	636826	146089	4	AMR	5262756
HG01109.mat	494646	727151	709615	511530	720609	183518	190369	179414	512746	66527	5	AMR	4296124
HG01109.pat	142595	358333	473002	1298865	383323	311981	173309	112172	352264	33034	6	AMR	3638877
HG01114.pat	718917	1051596	933783	854134	932682	308871	254926	243024	790966	185609	4	AMR	6274507
HG01123.mat	642807	869740	950134	761265	774994	342569	207359	194423	633128	154142	4	AMR	5530560
HG01123.pat	614366	925875	846257	773186	1068725	324212	336487	194361	712995	145603	3	AMR	5942066
HG01175.mat	297670	564068	573021	611465	443226	238569	200523	183235	364648	90499	7	AMR	3566923
HG01175.pat	457946	655762	679026	513949	717892	214103	176760	179419	513110	60329	5	AMR	4168295
HG01243.mat	494647	650684	656587	499644	720596	195737	139374	149511	575034	62718	5	AMR	4144531
HG01243.pat	497410	725344	687199	632826	750575	250815	244705	183160	579292	130991	3	AMR	4682316
HG01258.mat	687669	1049907	939934	885042	989809	299735	241333	272950	799987	163074	4	AMR	6329439
HG01258.pat	504236	711754	732020	666147	812975	250793	227734	220581	720143	100827	3	AMR	4947209
HG01352.pat	540813	774579	709546	566203	666151	186521	231074	168237	476236	114975	4	AMR	4434334
HG01358.mat	366852	655838	719819	566264	609065	171317	166522	172007	442744	69887	2	AMR	3940314
HG01358.pat	457991	796704	697355	670843	867425	235507	312679	220574	598135	157915	3	AMR	5015127
HG01361.pat	417214	584380	819721	532916	568361	260028	214090	186926	445675	15640	8	AMR	4044950
HG01457.mat	345098	557257	746338	647120	641669	220240	176700	142070	531819	64086	2	AMR	4072396
HG01457.pat	462102	613283	954235	599554	625403	321207	173291	164546	424805	42463	8	AMR	4380888
HG01573.mat	438980	774612	674946	670881	861970	244679	278666	179429	588107	156317	3	AMR	4868586
HG01573.pat	409071	591206	811535	535320	560175	272263	173316	149531	443984	19231	8	AMR	3965631
HG01596.mat	290753	470655	621951	478212	486687	104010	163144	194419	325456	63160	2	EAS	3198446
HG01890.pat	473016	732197	758415	554336	633602	278354	251477	138327	449947	66579	9	AFR	4336249
HG01891.mat	406391	662570	817719	635239	614550	260006	224272	119661	625582	79767	10	AFR	4445756
HG01928.mat	426732	601347	566870	511459	647146	226302	214094	183163	595907	119183	3	AMR	4092202
HG01928.pat	373766	597998	888974	582882	584631	272249	163088	168276	458420	33525	8	AMR	4123808
HG01978.mat	426727	648915	556666	478165	682471	247752	200522	164451	518926	130448	3	AMR	4055042
HG01978.pat	608820	823810	864479	761305	671596	333302	234551	209381	596698	136649	4	AMR	5240590
HG02004.mat	493322	727118	703493	561505	810316	223271	197152	213058	554279	66998	5	AMR	4550511
HG02004.pat	606028	834012	868538	751743	815747	269107	224312	145802	732687	152233	4	AMR	5400208
HG02018.mat	225610	474081	846340	587687	456818	177429	169919	142082	501985	60914	1	EAS	3642864
HG02055.mat	341144	472281	599479	480603	435095	229393	132558	153304	318081	26773	8	AFR	3188710
HG02059.mat	447081	774665	813543	592374	649840	287544	217502	130843	514550	18609	8	EAS	4446550
HG02071.mat	271772	433302	872788	601942	579167	211092	186942	115918	470853	31303	1	EAS	3775078
HG02071.pat	366849	540285	762580	630496	560120	177428	180133	168234	440695	80248	2	EAS	3907067
HG02080.mat	308425	504598	721763	594747	527436	180468	122341	201874	445924	66121	2	EAS	3673696
HG02106.mat	286665	390802	793269	459150	429595	198852	135941	134613	380974	35930	1	AMR	3245790
HG02109.mat	225581	572414	611687	842150	464917	501551	207330	160779	436565	356774	11	AFR	4379747
HG02145.mat	640029	779655	752283	597068	693311	244656	214134	171936	616957	138360	4	AFR	4848388
HG02257.mat	299030	616762	656631	647102	590077	308917	254900	164540	479678	75045	7	AFR	4092681
HG02257.pat	563949	1075299	813341	668263	614354	318042	180091	86024	505826	93982	6	AFR	4919170
HG02300.mat	264971	458793	827960	516274	511159	168272	132550	115911	425846	46157	1	AMR	3467892
HG02300.pat	407746	599712	897165	597122	571056	281429	166484	194450	401349	43623	8	AMR	4160135
HG02486.pat	399642	657573	832037	754233	660765	305843	210739	216903	590085	80105	7	AFR	4707924
HG02492.pat	273161	516583	1003364	628150	644390	183551	176731	168262	446859	38156	1	SAS	4079206
HG02559.mat	309810	455353	632079	556715	521963	174293	139326	119607	393577	45345	2	AFR	3348067
HG02559.pat	667229	796664	941973	735062	570986	269104	159717	168229	647645	120599	4	AFR	5077207
HG02572.mat	562580	798420	717691	625677	560113	174339	166494	190624	625457	70975	4	AFR	4492369
HG02572.pat	411683	925737	948057	1032413	598129	559725	285509	172008	657955	420276	11	AFR	6011491
HG02615.mat	364232	499418	731983	568588	386092	247813	180129	142103	371439	46353	8	AFR	3538149
HG02615.pat	298931	496148	858526	706634	766754	315073	166556	153314	535292	58070	12	AFR	4355297
HG02622.mat	160365	229359	291615	242694	203924	100957	81582	112190	219759	32059	7	AFR	1674503
HG02622.pat	591174	803496	748278	735111	693346	275227	234523	183179	546771	140432	4	AFR	4951536
HG02630.mat	562447	925840	842010	670795	508459	287521	224301	97213	454839	117687	6	AFR	4691111
HG02647.mat	496054	677760	713651	654234	579126	272230	193707	190647	637438	164748	6	AFR	4579594
HG02647.pat	360202	575895	621857	394941	473169	186603	132524	97221	377405	48444	9	AFR	3268260
HG02666.mat	317950	565833	899256	706662	750330	256932	227695	149568	527591	44106	12	AFR	4445922
HG02666.pat	301766	574279	670871	606688	560145	290586	261708	168278	454006	81407	7	AFR	3969733
HG02717.pat	576251	737240	748301	739847	709645	238580	220917	183136	520500	128008	4	AFR	4802424
HG02769.mat	297656	502927	711646	518691	494898	275316	156330	82263	410901	51845	10	AFR	3502472
HG02769.pat	419970	689734	740104	487707	508440	278323	227616	112166	499584	64010	9	AFR	4027653
HG02809.mat	283941	647145	605562	863475	481178	418985	234521	145823	452976	51881	11	AFR	4185486
HG02809.pat	339791	604826	793237	611504	576465	189697	186925	134613	460191	64802	10	AFR	3962050
HG02818.mat	485140	847583	835921	1184650	666128	510797	234540	138346	700040	640115	6	AFR	6243259
HG02886.mat	360209	662526	632078	440097	448653	214164	176720	97211	352575	60293	9	AFR	3444525
HG02886.pat	237791	584323	625982	851669	546470	437338	237929	172016	388337	363562	11	AFR	4445416
HG03009.mat	259518	562416	1066565	630538	611788	214153	163145	127130	538979	64328	1	SAS	4238559
HG03009.pat	224241	348319	726017	409254	405096	168233	156337	89751	404426	22868	1	SAS	2954541
HG03098.mat	338456	640568	628064	675698	418773	247721	193727	183238	375706	88529	7	AFR	3790479
HG03098.pat	665879	845923	958225	746954	587278	253802	159722	175704	687943	135926	4	AFR	5217355
HG03248.mat	594015	830750	899305	839811	832122	266089	258351	186942	711240	164842	6	AFR	5583466
HG03248.pat	377878	606500	658573	471073	503105	244749	203873	142099	363674	34646	9	AFR	3606169
HG03371.mat	626476	946185	937971	830308	1014235	366982	316117	287881	773621	175783	4	AFR	6275558
HG03452.mat	259610	448503	530159	361612	318080	189637	152897	108411	353438	46527	9	AFR	2768873
HG03456.mat	320690	422947	454524	390078	309891	204865	149549	93445	667565	93029	6	AFR	3106582
HG03456.pat	463466	722018	805415	573382	513916	324255	264983	149552	529152	50721	9	AFR	4396859
HG03516.mat	360209	618470	791202	792287	636278	302816	203954	228083	491176	84906	7	AFR	4509380
HG03520.mat	318063	589591	587264	618601	416060	223269	169955	172005	375850	89047	7	AFR	3559704
HG03520.pat	337091	514716	552511	375902	465034	195796	159730	127123	392706	55715	9	AFR	3176323
HG03540.mat	158983	524811	493403	849319	443141	504603	197127	153299	314029	34499	11	AFR	3673213
HG03540.pat	699912	907091	813524	804113	788535	284405	271889	168186	587237	141006	4	AFR	5465897
HG03579.mat	300298	560748	901287	716163	725863	241626	183529	157038	509768	52594	12	AFR	4348913
HG03579.pat	309821	411048	458610	392421	301738	192637	163149	100914	635559	87590	6	AFR	3053486
HG03683.mat	384479	696699	927855	899446	940827	275328	200510	213116	618543	77863	2	SAS	5234665
HG03683.pat	255487	475683	379302	366369	633593	177368	207340	145737	394210	73850	3	SAS	3108938
HG03710.mat	305634	506388	709646	537650	562766	189634	197096	127124	423620	63570	2	SAS	3623127
HG03710.pat	258146	511440	872847	644828	687946	269248	186939	145824	493154	89356	1	SAS	4159727
HG03732.mat	449793	660879	619835	594776	687936	168207	231133	201900	578576	94971	4	SAS	4288005
HG03807.mat	490689	778055	744254	482931	734189	217167	227738	168229	509445	100979	3	SAS	4453675
HG03927.mat	464695	608055	546357	435314	486634	198752	129151	89707	452628	125123	4	SAS	3536415
HG03927.pat	407615	739144	917612	966055	880980	260030	220905	235555	615497	69084	2	SAS	5312476
HG04217.mat	342384	543634	789096	525797	641642	281400	129132	164506	482816	71858	2	SAS	3972264
HG04228.mat	600635	783104	884879	618564	636301	293679	285493	160791	564842	25699	8	SAS	4853986
