Haplotype	15-mer	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	148057	2353422	111590	4853581	5	EUR	7466649
CHM13.pat	51059	1153521	54785	3417253	5	EUR	4676617
HG00096.mat	96984	1885003	80649	2042692	1	EUR	4105327
HG00096.pat	117407	2148098	83863	2071326	1	EUR	4420693
HG00171.mat	168443	2810132	97823	1775756	1	EUR	4852153
HG00171.pat	165921	2842061	104279	5306404	5	EUR	8418664
HG002.mat	130200	1526641	92568	3149488	3	EUR	4898896
HG002.pat	186303	3009573	139318	1619988	1	EUR	4955181
HG00268.mat	91884	1861887	94767	2137537	1	EUR	4186074
HG00268.pat	84223	1055178	46929	2168073	4	EUR	3354402
HG00358.mat	58713	1090046	114539	5354815	5	EUR	6618112
HG00358.pat	168442	2740719	109037	1827251	1	EUR	4845448
HG00512.mat	84231	1642092	87947	2960961	1	EAS	4775230
HG00512.pat	173565	2318596	92706	2473875	1	EAS	5058741
HG00513.mat	76574	2174088	88120	1957754	1	EAS	4296535
HG00731.mat	160821	2633885	106504	6314498	5	AMR	9215707
HG00731.pat	107201	2044049	89326	2291219	1	AMR	4531794
HG00732.mat	275723	2738092	159837	1487884	3	AMR	4661535
HG00732.pat	163369	2570285	98839	4200905	5	AMR	7033397
HG00864.mat	155714	2119163	67171	1413074	2	EAS	3755121
HG00864.pat	68925	1422470	73671	1943779	1	EAS	3508844
HG01099.mat	109741	2000641	82002	2414504	1	AMR	4606887
HG01352.mat	56161	1526546	109563	1552529	1	AMR	3244798
HG01457.mat	43388	1682550	88627	1501713	1	AMR	3316277
HG01457.pat	257855	1558460	110459	2835221	3	AMR	4761994
HG01505.mat	58715	1275022	116687	3296040	5	EUR	4746463
HG01505.pat	99536	1997777	68054	1917815	1	EUR	4083181
HG01573.mat	43388	1685471	90513	1289955	1	AMR	3109326
HG01573.pat	58700	1621829	93389	1372419	1	AMR	3146336
HG01596.mat	68919	1321247	93719	2061509	1	EAS	3545393
HG01596.pat	125078	2680133	148389	5220391	5	EAS	8173990
HG01890.mat	22974	939632	40299	5140893	2	AFR	6143797
HG01890.pat	53609	1318319	52535	3198882	4	AFR	4623344
HG02004.pat	107206	2090293	108369	2692825	1	AMR	4998692
HG02011.mat	53609	1407927	49296	4138409	4	AFR	5649240
HG02011.pat	45954	1908185	87734	7176234	2	AFR	9218106
HG02018.pat	94446	1963027	102433	1830983	1	EAS	3990888
HG02059.mat	51046	968605	64140	2040507	1	EAS	3124297
HG02059.pat	91883	1642142	105639	2098782	1	EAS	3938445
HG02071.pat	214450	1500599	77992	3569580	3	EAS	5362620
HG02106.mat	183816	1922742	103668	3182922	3	AMR	5393147
HG02106.pat	45943	1694138	89305	1411674	1	AMR	3241059
HG02293.mat	51047	1662349	90498	1437388	1	AMR	3241281
HG02293.pat	48489	1728782	84539	1342381	1	AMR	3204190
HG02492.mat	61261	1052373	35201	4589443	2	SAS	5738277
HG02492.pat	63820	771939	60205	4720044	2	SAS	5616007
HG02554.pat	81697	2026544	61735	3511711	6	AFR	5681686
HG02587.mat	51056	1419479	48634	3653869	4	AFR	5173037
HG02587.pat	35740	1460060	56610	4199068	2	AFR	5751477
HG02615.mat	66389	1564146	143538	2750539	6	AFR	4524611
HG02615.pat	308906	757475	49672	3710807	6	AFR	4826859
HG02647.pat	117379	2827021	113420	4222318	6	AFR	7280137
HG02666.mat	176087	2787018	89492	2919076	1	AFR	5971672
HG02769.mat	79123	2986573	85047	1171669	1	AFR	4322411
HG02818.mat	76563	2283998	50514	3777210	1	AFR	6188284
HG03009.mat	125068	2107702	93726	2159665	1	SAS	4486160
HG03009.pat	66366	1777970	132521	3227454	1	SAS	5204310
HG03065.mat	12765	2656808	10719	2119620	6	AFR	4799911
HG03065.pat	58712	1196977	88257	4812910	2	AFR	6156855
HG03371.mat	38281	1277907	93009	1835394	2	AFR	3244590
HG03371.pat	145461	2659784	77419	3113675	1	AFR	5996338
HG03456.mat	38281	1280790	102874	2378348	2	AFR	3800292
HG03456.pat	45952	696749	22786	4285551	2	AFR	5051037
HG03520.mat	33185	696748	47266	1037903	4	AFR	1815101
HG03683.mat	112304	2029609	87439	2139506	1	SAS	4368857
HG03683.pat	86778	1873473	83028	2070128	1	SAS	4113406
HG03710.mat	96986	2012247	91353	2325542	1	SAS	4526127
HG03710.pat	56162	1142003	36051	4161427	2	SAS	5395642
HG03732.mat	199125	1546883	93980	2863457	3	SAS	4703444
HG03732.pat	84242	2804525	161477	5064648	5	SAS	8114891
HG03807.mat	114860	2179806	85912	2916073	1	SAS	5296650
HG03807.pat	142958	1324230	125249	2273133	3	SAS	3865569
HG04036.mat	252732	1390813	120853	2877241	3	SAS	4641638
HG04036.pat	76586	1199737	47445	1628685	4	SAS	2952452
HG04217.mat	114853	2428421	94412	2407252	1	SAS	5044937
HG04217.pat	84225	2055603	89141	2252204	1	SAS	4481172
HG04228.mat	125065	2240646	77900	2089754	1	SAS	4533364
NA12329.mat	74033	1098533	26009	3877038	4	EUR	5075612
NA12329.pat	291039	2206137	132586	1993490	3	EUR	4623251
NA18534.mat	61256	1526501	65493	1715422	1	EAS	3368671
NA18534.pat	56147	1491863	92852	2156961	2	EAS	3797822
NA18939.mat	68923	1332900	81991	2484255	1	EAS	3968068
NA18939.pat	51051	974324	79758	2903747	2	EAS	4008879
NA18989.mat	150598	2278084	83185	2320476	1	EAS	4832342
NA18989.pat	104651	2344678	118715	3732703	1	EAS	6300746
NA19036.mat	140401	1700123	120313	2511038	6	AFR	4471874
NA19129.mat	5106	1916753	156319	2326893	6	AFR	4405070
NA19238.mat	45948	1480287	41997	5325407	2	AFR	6893638
NA19238.pat	66374	1538017	56616	2677095	4	AFR	4338101
NA19239.mat	51052	1257584	39778	3215923	4	AFR	4564336
NA19239.pat	148060	2558662	151016	3852654	6	AFR	6710391
NA19317.mat	40837	1162191	49316	5043995	4	AFR	6296338
NA19317.pat	20421	1702905	80456	3092687	6	AFR	4896468
NA19331.mat	71482	1908310	47103	2286531	6	AFR	4313425
NA19331.pat	38292	1986220	83684	2917002	6	AFR	5025197
NA19347.mat	63817	1289379	40455	3071064	4	AFR	4464714
NA19347.pat	158333	3403082	89999	3389387	6	AFR	7040800
NA19384.mat	257841	2336317	134097	1991349	6	AFR	4719603
NA19384.pat	5106	1749079	98995	1896234	6	AFR	3749413
NA19434.mat	109770	1575794	125889	3112713	6	AFR	4924165
NA19650.mat	107207	2266669	108535	2725644	1	AMR	5208054
NA19650.pat	163389	1627872	105865	3878440	3	AMR	5775565
NA19705.mat	51069	1957459	95286	1351346	6	AFR	3455159
NA19705.pat	58712	1257682	81621	4661137	2	AFR	6059151
NA19836.pat	53608	1564153	114160	1678251	1	AFR	3410171
NA19983.mat	25527	1286554	33153	3092823	2	AFR	4438056
NA20355.mat	20417	1775147	47269	3656575	2	AFR	5499407
NA20355.pat	51049	2136452	99948	5064392	6	AFR	7351840
NA20509.mat	84235	2145225	93568	1608012	1	EUR	3931039
NA20509.pat	79133	2049838	93401	1674047	1	EUR	3896418
NA20847.mat	130196	1431262	73707	3008534	3	SAS	4643698
