Haplotype	15-mer	18-mer	25-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	630064	2109223	0	65388	4929	2	EUR	2809603
CHM13.pat	721898	1993069	0	46751	9969	2	EUR	2771686
CPC_P1_53.pat	10191	1675201	0	21580	14675	1	EAS	1721646
HG00096.mat	30580	2766326	0	24954	180185	1	EUR	3002044
HG00096.pat	20383	2809410	0	47719	89340	1	EUR	2966851
HG00171.mat	17835	2589179	0	28697	143608	1	EUR	2779318
HG00171.pat	17836	3353483	0	37874	117241	1	EUR	3526433
HG002.mat	22932	4625121	530366	185276	39525	3	EUR	5403219
HG002.pat	17836	4194142	479454	184785	55320	3	EUR	4931536
HG00268.mat	12740	2393609	258812	104157	380026	3	EUR	3149343
HG00268.pat	295888	1262462	0	24294	13501	2	EUR	1596144
HG00358.mat	645370	2338454	0	53339	21699	2	EUR	3058861
HG00358.pat	681066	2182546	0	41798	17556	2	EUR	2922965
HG00512.mat	15289	1956345	0	17144	137605	1	EAS	2126382
HG00512.pat	22932	3032156	0	42450	185553	1	EAS	3283090
HG00513.mat	12740	1565166	97589	71342	208040	3	EAS	1954876
HG00513.pat	22932	3368368	0	27852	214191	1	EAS	3633342
HG00731.mat	17837	2127459	0	13075	63480	1	AMR	2221850
HG00731.pat	525503	1265580	0	19888	7927	2	AMR	1818897
HG00732.mat	372431	1225804	0	10028	28243	2	AMR	1636505
HG00732.pat	637716	2115310	0	63198	7449	2	AMR	2823672
HG01099.pat	22933	2585922	0	38718	39590	1	AMR	2687162
HG01106.mat	12741	1592609	0	14092	131974	1	AMR	1751415
HG01114.mat	596892	1785158	0	69462	228877	2	AMR	2680388
HG01114.pat	25479	2644282	0	26838	161388	1	AMR	2857986
HG01175.pat	15289	1919649	0	11040	63478	1	AMR	2009455
HG01352.mat	40770	4034739	0	45864	324556	1	AMR	4445928
HG01352.pat	22932	4197190	492184	194969	33129	3	AMR	4940403
HG01457.mat	40766	3292441	0	24799	127390	1	AMR	3485395
HG01457.pat	33124	4628222	534615	221278	30862	3	AMR	5448100
HG01505.mat	30575	2023607	0	17313	101963	1	EUR	2173457
