Haplotype	5-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	4890387	363751	12067	81417	7	EUR	5347621
CHM13.pat	3348475	3051	8847	88945	10	EUR	3449317
CPC_P1_16.pat	2678019	3062	3060	127896	1	EAS	2812036
CPC_P1_19.pat	4848004	415561	26740	38226	7	EAS	5328530
CPC_P1_2.pat	2642373	4084	3232	112569	1	EAS	2762257
CPC_P1_26.mat	3254271	1018	11552	161012	5	EAS	3427852
CPC_P1_26.pat	5781123	505985	23544	39382	7	EAS	6350033
CPC_P1_27.mat	2564163	3063	3232	119355	1	EAS	2689812
CPC_P1_33.pat	3147071	0	26694	74492	11	EAS	3248256
CPC_P1_4.pat	2582469	277386	6092	43021	7	EAS	2908967
CPC_P1_48.pat	2553876	3063	4768	117304	1	EAS	2679010
CPC_P1_51.pat	2641459	3063	2894	129561	1	EAS	2776976
CPC_P1_52.pat	5918806	564920	29101	35429	7	EAS	6548255
CPC_P1_54.mat	2598982	3063	6464	131172	1	EAS	2739680
CPC_P1_54.pat	2566702	4084	3232	124243	1	EAS	2698260
CPC_P1_55.mat	5029012	498889	17791	34359	7	EAS	5580050
CPC_P1_8.mat	3633252	1018	12405	176061	5	EAS	3822735
CPC_P1_9.pat	2524207	5105	3232	125826	1	EAS	2658369
HG00096.mat	3074046	0	21410	103987	11	EUR	3199442
HG00096.pat	3439613	1017	4247	127776	5	EUR	3572652
HG00171.mat	2747697	3063	7486	117625	1	EUR	2875870
HG00171.pat	1245146	2042	2894	103810	1	EUR	1353891
HG002.mat	3490664	3055	10859	170405	5	EUR	3674982
HG002.pat	2414605	1021	2888	121698	1	EUR	2540211
HG00268.mat	3157449	5089	7812	128253	5	EUR	3298602
HG00268.pat	3194405	2034	4073	56400	14	EUR	3256911
HG00358.mat	4387902	2034	9535	93373	10	EUR	4492843
HG00358.pat	2993309	4084	2715	154206	1	EUR	3154313
HG00438.mat	3678456	3057	7813	132330	5	EAS	3821655
HG00438.pat	3271253	1018	16488	163890	5	EAS	3452648
HG005.pat	2230952	1017	6977	136761	1	EAS	2375706
HG00512.mat	2793521	0	3405	92933	10	EAS	2889858
HG00512.pat	4989679	0	17369	98035	10	EAS	5105082
HG00621.mat	3503326	1018	11553	220576	5	EAS	3736472
HG00673.mat	3454928	1018	10200	220597	5	EAS	3686742
HG00731.mat	5644158	549666	22688	51868	7	AMR	6268379
HG00731.pat	2662719	6126	1871	129687	1	AMR	2800402
HG00732.mat	2911633	0	73892	111536	9	AMR	3097060
HG00732.pat	3106324	1017	11235	81646	10	AMR	3200221
HG00735.pat	2430709	3063	3233	121877	1	AMR	2558881
HG00741.mat	2635598	9181	4593	126567	1	AMR	2775938
HG01071.pat	4824212	300761	14275	59797	7	AMR	5199044
HG01099.mat	1397229	1017	2722	58211	7	AMR	1459178
HG01099.pat	2698442	6126	6977	129264	1	AMR	2840808
HG01106.mat	2589697	1021	4249	132108	1	AMR	2727074
HG01106.pat	2662745	5101	1871	131091	1	AMR	2800807
HG01109.pat	3958246	438896	14402	131110	6	AMR	4542653
HG01114.mat	3990976	3063	7319	146300	1	AMR	4147657
HG01114.pat	2564916	10210	3739	169584	1	AMR	2748448
HG01123.mat	3227958	7128	9498	121534	5	AMR	3366117
HG01258.mat	3263648	1018	10870	132433	5	AMR	3407968
HG01352.mat	2747764	6122	6977	125376	1	AMR	2886238
HG01352.pat	3277257	1018	10361	124130	5	AMR	3412765
HG01358.mat	4546888	2034	14643	87051	10	AMR	4650615
HG01361.pat	2937304	3063	4591	124057	1	AMR	3069014
HG01457.mat	2479954	1017	18560	90955	10	AMR	2590485
