Haplotype	4-mer	8-mer	10-mer	12-mer	14-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	58381	2535321	105305	112055	111735	126661	20958	7	EUR	3070415
CHM13.pat	224279	1762829	91628	91666	240089	151786	18354	2	EUR	2580630
CPC_P1_21.mat	70663	2480484	161252	120196	159283	183372	27551	8	EAS	3202800
CPC_P1_25.mat	49610	1893822	50941	85531	52285	85585	45956	8	EAS	2263729
CPC_P1_26.pat	180787	1599887	71243	85565	251963	142275	15979	2	EAS	2347698
CPC_P1_27.pat	50291	2895285	162997	99805	171157	225488	27991	8	EAS	3633013
CPC_P1_29.pat	52296	1948527	83183	191447	71290	106269	47072	6	EAS	2500083
CPC_P1_30.pat	50261	2269149	83183	287268	104577	105309	43371	6	EAS	2943117
CPC_P1_33.pat	57742	1578322	146054	107959	85577	99310	35762	8	EAS	2110725
CPC_P1_38.mat	50937	1939075	74705	193504	71286	103947	35688	6	EAS	2469141
CPC_P1_38.pat	67238	2651627	123903	287140	102201	132477	49444	5	EAS	3414029
CPC_P1_52.mat	48907	1872451	84859	166968	71273	105609	35144	6	EAS	2385210
CPC_P1_57.pat	52326	2354385	154504	77420	175912	225324	25345	8	EAS	3065215
CPC_P1_6.pat	63858	2469533	115413	268798	87939	117198	51402	6	EAS	3174140
CPC_P1_7.mat	212050	1665043	113717	99831	232965	166731	11193	2	EAS	2501529
CPC_P1_8.mat	220863	1360695	84820	85558	235332	143301	15977	2	EAS	2146545
CPC_P1_9.mat	63191	2754670	168079	126213	173529	199313	20471	8	EAS	3505465
HG00096.mat	54355	2218650	142685	57045	83208	128022	22369	7	EUR	2706333
HG00096.pat	61131	2359984	90006	124256	90338	100019	19757	7	EUR	2845490
HG00171.mat	61130	1811056	96808	89632	76071	93561	31329	7	EUR	2259586
HG00171.pat	284813	2545395	127340	128364	285249	155854	14946	2	EUR	3541960
HG00268.mat	153594	1306403	74662	95726	244833	123946	7240	2	EUR	2006403
HG00268.pat	79506	2061753	213932	75339	116489	112239	15281	7	EUR	2674538
