Haplotype	6-mer	8-mer	10-mer	12-mer	16-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	99806	932694	333849	3347670	214089	348404	86490	12	EUR	5363001
CHM13.pat	105926	924554	303298	3066782	203287	283953	79882	12	EUR	4967681
CPC_P1_3.pat	72272	179485	177861	1222965	86724	149264	54011	1	EAS	1942581
CPC_P1_33.pat	40731	660826	249080	1041863	59630	222382	92824	2	EAS	2367335
HG00096.mat	83507	1000756	401577	1888540	92174	256801	76172	12	EUR	3799526
HG00096.pat	81473	1011629	401593	1882442	92173	292082	90932	12	EUR	3852323
HG00171.mat	94737	1084981	417122	3455431	227662	413829	84626	12	EUR	5778387
HG00171.pat	101853	1018384	399937	3172610	203264	417394	98150	12	EUR	5411591
HG002.mat	69237	781899	286553	1955651	146317	226924	80564	11	EUR	3547144
HG002.pat	104915	1044137	357590	3133919	162595	357005	86978	12	EUR	5247138
HG00268.mat	15273	700285	84918	1041851	43398	162188	57815	14	EUR	2105727
HG00268.pat	88601	970837	394800	2151037	157213	311442	150534	12	EUR	4224463
HG00358.mat	80428	1094522	347439	3481786	143660	408468	757189	15	EUR	6313491
HG00358.pat	17309	717948	103648	1064244	37969	187632	358521	14	EUR	2487270
HG00438.pat	45822	678520	254128	1255536	105717	200133	86039	2	EAS	2625894
HG00512.mat	71240	164435	154089	1247372	100293	161385	64555	1	EAS	1963368
HG00512.pat	88607	900062	316823	2022821	65040	261049	80335	12	EAS	3734736
HG00513.mat	78425	1055104	364597	3056568	187000	333639	89039	12	EAS	5164371
HG00513.pat	79419	1078093	269517	2987328	168057	278982	104033	13	EAS	4965428
HG00731.mat	84543	1075505	340675	2901952	238493	378429	124265	12	AMR	5143861
HG00731.pat	76391	1104058	327133	2995578	157199	328044	83736	12	AMR	5072138
HG00732.mat	22389	663565	120513	1149773	46082	193080	60868	14	AMR	2256269
HG00732.pat	114007	1333747	400413	3785074	103108	412231	144202	7	AMR	6292781
HG00864.mat	78439	662048	255766	2806227	157191	324988	96135	12	EAS	4380793
HG00864.pat	96734	1110857	315165	2252697	208685	307250	65638	12	EAS	4357025
HG01099.pat	82498	1055173	420126	1975939	146359	272721	72330	12	AMR	4025145
HG01114.mat	38684	467763	189731	2213997	219532	255707	90413	2	AMR	3475826
HG01114.pat	73291	1117644	211886	2466484	151806	245253	155592	13	AMR	4421955
HG01352.mat	134344	950301	863476	2356503	496089	365041	251778	4	AMR	5417531
HG01352.pat	73291	1110849	208492	2161194	103026	244577	156685	13	AMR	4058113
HG01358.mat	27492	552049	179618	1045942	119261	187658	76315	2	AMR	2188334
HG01457.mat	72324	1019649	298400	3060605	176181	401022	70924	15	AMR	5099104
HG01457.pat	105920	1138004	317108	3685364	135544	369848	109047	15	AMR	5860834
HG01505.mat	13232	588739	83233	856668	48829	171208	58495	14	EUR	1820403
