Haplotype	4-mer	6-mer	8-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	713933	692035	1428022	283591	181294	62688	1	EUR	3361562
CHM13.pat	1106577	178356	1101854	106989	34989	28898	4	EUR	2557662
CPC_P1_13.pat	1868261	261874	2210024	127362	76255	15398	3	EAS	4559173
CPC_P1_15.mat	997798	171212	1032584	98502	35504	23458	4	EAS	2359057
CPC_P1_15.pat	1228581	239481	1658639	125669	78978	9813	3	EAS	3341160
CPC_P1_18.mat	1086186	172215	1050232	123975	39247	2128	4	EAS	2473982
CPC_P1_19.mat	610071	870140	1803039	205447	277835	43683	2	EAS	3810214
CPC_P1_20.mat	1189763	238480	1942510	120569	86963	8811	3	EAS	3587095
CPC_P1_23.mat	1342152	263961	1977812	166407	81356	6928	3	EAS	3838615
CPC_P1_25.mat	550993	886486	2788360	212263	276035	19714	2	EAS	4733850
CPC_P1_27.mat	599866	864020	1714721	208855	242868	37081	2	EAS	3667410
CPC_P1_27.pat	1737987	221139	1588338	110384	61157	27490	4	EAS	3746494
CPC_P1_29.mat	529905	821234	2501575	186807	274978	27626	2	EAS	4342124
CPC_P1_29.pat	1769922	228280	1641317	110390	69650	29545	4	EAS	3849103
CPC_P1_30.pat	1092417	173237	1139992	112094	41448	23458	4	EAS	2582645
CPC_P1_5.mat	1048388	229320	1616550	110367	94935	13898	3	EAS	3113457
CPC_P1_51.mat	549590	842622	1887347	207169	272737	27995	2	EAS	3787459
CPC_P1_51.pat	622347	957663	1847853	154476	291080	45677	2	EAS	3919095
CPC_P1_53.mat	667058	909871	1968806	185093	223533	22558	2	EAS	3976918
CPC_P1_6.mat	1646935	219097	1538070	117182	66085	19330	4	EAS	3606698
CPC_P1_8.pat	885937	209922	1454944	122270	69463	10148	3	EAS	2752683
HG00096.mat	1516152	208902	1964106	123951	96631	53333	3	EUR	3963074
HG00096.pat	843743	872351	2474260	258148	235538	60824	1	EUR	4744863
HG00171.mat	754079	1058467	2330194	259810	307427	42658	2	EUR	4752634
HG00171.pat	1212679	219137	1278444	125643	36347	2699	4	EUR	2874948
HG002.mat	501982	676592	1892716	185081	283288	48962	2	EUR	3588620
HG002.pat	1367669	2408966	4797918	283544	584024	43465	2	EUR	9485585
HG00268.mat	577457	884440	1763688	151100	333013	25053	2	EUR	3734750
HG00268.pat	640652	1007666	1358694	164705	305850	25730	2	EUR	3503296
HG00358.mat	1141551	220161	1740041	122252	74220	12196	3	EUR	3310420
HG00358.pat	546874	822163	1779994	186792	309323	39932	2	EUR	3685077
HG00512.mat	706421	222221	1338224	123955	79650	750286	3	EAS	3220756
HG00512.pat	920607	191597	1411428	95084	67079	110535	3	EAS	2796329
HG00513.mat	223601	403612	1111551	106961	127795	35770	2	EAS	2009289
HG00513.pat	1140199	254763	1764596	154525	85944	12803	3	EAS	3412829
HG00621.mat	968884	193653	1452194	81509	64202	6779	3	EAS	2767220
HG00673.pat	1230313	221155	1152116	108682	38220	681	4	EAS	2751166
HG00731.mat	1300685	251761	1947992	163018	104788	8472	3	AMR	3776715
HG00731.pat	694849	546331	760846	241168	171408	58367	1	AMR	2472968
HG00732.mat	783929	816327	2751470	378781	256806	641267	1	AMR	5628579
HG00732.pat	664394	997604	2777377	229263	369576	41625	2	AMR	5079838
HG00741.mat	1139527	222190	1692533	123966	49250	7609	3	AMR	3235074
HG00864.mat	320087	582936	1394156	156223	201853	31859	2	EAS	2687113
HG00864.pat	364072	468530	1246066	71317	78376	19310	2	EAS	2247670
HG01071.mat	1083096	212013	1727891	106988	65206	8470	3	AMR	3203663
HG01071.pat	648101	815970	1325953	147711	193602	48059	2	AMR	3179395
HG01099.mat	608670	819171	1913132	186780	225565	48401	2	AMR	3801718
HG01099.pat	387266	648047	1808501	232639	248000	34707	2	AMR	3359159
HG01109.pat	295534	502416	1557168	186784	253390	32339	2	AMR	2827630
HG01114.mat	508160	714216	2000154	185071	238128	40785	2	AMR	3686513
HG01114.pat	1330574	218132	1950714	146038	105653	8472	3	AMR	3759582
HG01243.pat	560537	824271	1372300	146008	219604	18112	2	AMR	3140831
HG01258.pat	465359	727442	1505546	151121	269697	36561	2	AMR	3155725
HG01352.mat	570667	817030	1543493	154523	240283	41643	2	AMR	3367638
HG01352.pat	703719	916955	1903561	213954	248296	47198	2	AMR	4033682
HG01361.pat	1133751	217061	1063774	110371	32273	42498	4	AMR	2599727
HG01457.mat	864181	818416	3141539	346520	248167	63464	1	AMR	5482286
HG01457.pat	643853	553432	1842462	309034	214025	62570	1	AMR	3625375
HG01505.mat	682827	1015883	1822063	208820	379057	60773	2	EUR	4169422
HG01573.mat	1351683	259906	2161311	169814	139282	9455	3	AMR	4091450
HG01573.pat	535313	752852	1173862	140934	199713	44393	2	AMR	2847066
HG01596.mat	1219687	240507	1969715	146050	89338	9149	3	EAS	3674445
HG01596.pat	909035	215042	1448189	129065	73367	31184	3	EAS	2805881
HG01890.mat	567920	778281	1447051	127320	165409	53138	2	AFR	3139118
HG01890.pat	1037973	274152	1086864	89983	93336	38888	9	AFR	2621195
HG01891.pat	1030499	274157	1070566	89983	92996	38888	9	AFR	2597088
HG01928.mat	793430	89646	909977	59416	43649	6439	3	AMR	1902556
HG01928.pat	1232674	241561	1816198	144332	105138	8472	3	AMR	3548374
HG01952.mat	1072199	208953	1744247	151131	89176	8811	3	AMR	3274516
