Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	1665147	75993	10330	4	EUR	1751469
CHM13.pat	2522739	85141	8429	8	EUR	2616308
CPC_P1_16.pat	1510945	40185	4655	8	EAS	1555784
CPC_P1_18.pat	1695303	14484	73222	6	EAS	1783008
CPC_P1_19.mat	1635300	15849	145096	6	EAS	1796244
CPC_P1_25.mat	1899730	46677	8455	4	EAS	1954861
CPC_P1_25.pat	1532868	56180	3295	8	EAS	1592342
CPC_P1_29.pat	1325543	42554	3295	8	EAS	1371391
CPC_P1_32.pat	1586242	11093	94401	6	EAS	1691735
CPC_P1_48.pat	1860075	66570	4656	8	EAS	1931300
CPC_P1_5.pat	1482588	15339	113212	6	EAS	1611138
CPC_P1_51.pat	2284247	30859	2267	3	EAS	2317372
CPC_P1_53.mat	2438428	32747	2267	3	EAS	2473441
CPC_P1_54.mat	1131740	11252	4655	8	EAS	1147646
CPC_P1_54.pat	1674589	46490	3295	8	EAS	1724373
CPC_P1_6.mat	1620324	14485	127663	6	EAS	1762471
CPC_P1_7.pat	1753657	27921	4312	8	EAS	1785889
CPC_P1_9.pat	1468743	50734	6028	8	EAS	1525504
HG00096.mat	2812165	42293	10038	1	EUR	2864495
HG00096.pat	1565743	9203	115416	6	EUR	1690361
HG00171.mat	2283000	18592	684	3	EUR	2302275
HG00171.pat	3417763	33259	157057	1	EUR	3608078
HG002.mat	1756639	62040	73395	10	EUR	1892073
HG002.pat	2297936	29851	2267	3	EUR	2330053
HG00268.mat	1542384	52108	7347	8	EUR	1601838
HG00268.pat	1669343	61189	27318	10	EUR	1757849
HG00358.mat	1746977	75235	171	8	EUR	1822382
HG00358.pat	2569382	32408	3716	1	EUR	2605505
HG005.pat	2555719	24223	2268	3	EAS	2582209
HG00512.mat	1831615	93462	4444	8	EAS	1929520
HG00512.pat	2157481	38353	6475	3	EAS	2202308
HG00513.mat	2583032	42257	2267	3	EAS	2627555
HG00513.pat	1411318	36782	2267	8	EAS	1450366
HG00673.mat	1576449	71163	4655	8	EAS	1652266
HG00731.mat	1534052	31681	3640	8	AMR	1569372
HG00731.pat	1613206	34402	3640	8	AMR	1651247
HG00732.mat	1506930	53971	7043	8	AMR	1567943
HG00732.pat	1357094	13462	134759	6	AMR	1505314
HG00735.pat	1648830	54349	10331	4	AMR	1713509
HG00741.mat	1590191	43104	10331	4	AMR	1643625
