Haplotype	8-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	1925272	46898	23727	13	EUR	1995896
CHM13.pat	2829683	74133	16813	14	EUR	2920628
CPC_P1_13.mat	3292238	59476	4461	11	EAS	3356174
CPC_P1_13.pat	2297300	64418	18622	13	EAS	2380339
CPC_P1_29.mat	2439467	144336	15874	12	EAS	2599676
CPC_P1_29.pat	2209147	12608	6814	14	EAS	2228568
CPC_P1_31.pat	1403214	47326	3295	6	EAS	1453834
CPC_P1_32.mat	3544606	25898	17476	11	EAS	3587979
CPC_P1_38.mat	3600551	81779	19931	2	EAS	3702260
CPC_P1_48.mat	1715497	49727	3295	6	EAS	1768518
CPC_P1_51.mat	2468158	115554	30191	12	EAS	2613902
CPC_P1_51.pat	2038823	48223	1035	11	EAS	2088080
CPC_P1_52.mat	2150192	103784	14124	13	EAS	2268099
CPC_P1_54.mat	2815201	26449	30975	8	EAS	2872624
CPC_P1_54.pat	3753341	103802	26669	2	EAS	3883811
CPC_P1_55.mat	3273300	86589	19595	2	EAS	3379483
CPC_P1_57.mat	3374157	88977	23680	2	EAS	3486813
CPC_P1_57.pat	1607642	89277	15471	12	EAS	1712389
HG00096.mat	2579115	24527	19658	9	EUR	2623299
HG00096.pat	2711032	47719	18370	14	EUR	2777120
HG00171.mat	3976607	61184	16889	14	EUR	4054679
HG00171.pat	3754809	116937	21834	2	EUR	3893579
HG002.mat	2329772	22833	13570	9	EUR	2366174
HG002.pat	2382043	117121	25688	13	EUR	2524851
HG00268.mat	2333092	92899	19767	13	EUR	2445757
HG00268.pat	3693388	114539	15528	2	EUR	3823454
HG00358.mat	2113676	53520	11151	14	EUR	2178346
HG00358.pat	2916978	37667	19526	14	EUR	2974170
HG00438.mat	3102936	38207	24308	8	EAS	3165450
HG00438.pat	2382876	50445	11007	2	EAS	2444327
HG00512.mat	2492746	121028	22894	12	EAS	2636667
HG00512.pat	3479203	44135	3776	11	EAS	3527113
HG00513.mat	4432568	68160	8560	11	EAS	4509287
HG00513.pat	2641480	64594	18302	14	EAS	2724375
HG00621.mat	2831107	55952	30553	16	EAS	2917611
HG00673.pat	2761275	93919	34151	13	EAS	2889344
HG00731.mat	2784612	45846	29208	14	AMR	2859665
HG00731.pat	2379348	92890	22082	13	AMR	2494319
HG00732.mat	2362919	81648	18590	13	AMR	2463156
HG00732.pat	1940297	55411	22192	13	AMR	2017899
HG00735.pat	2313811	96808	19591	13	AMR	2430209
HG00864.mat	3983797	64745	6820	11	EAS	4055361
HG00864.pat	2563756	54379	15622	14	EAS	2633756
HG01071.pat	2217155	103455	19317	13	AMR	2339926
HG01099.mat	3877434	104470	12254	2	AMR	3994157
HG01099.pat	2929149	45677	23620	14	AMR	2998445
HG01114.mat	2324697	100049	15495	13	AMR	2440240
HG01114.pat	2907434	44490	19699	14	AMR	2971622
HG01243.pat	2879499	97428	7654	1	AMR	2984580
HG01352.mat	3530530	72835	42940	16	AMR	3646304
HG01352.pat	2738330	58631	13611	14	AMR	2810571
HG01361.pat	3604160	74535	43720	16	AMR	3722414
HG01457.mat	2774790	159346	35845	12	AMR	2969980
HG01457.pat	3495541	74477	5772	11	AMR	3575789
HG01505.mat	2600383	122555	21015	13	EUR	2743952
HG01505.pat	1945899	49600	14107	14	EUR	2009605
HG01573.mat	3619826	50511	40731	8	AMR	3711067
HG01573.pat	3702374	72660	40823	16	AMR	3815856
HG01596.mat	3634671	24194	15410	11	EAS	3674274
HG01596.pat	2442937	65285	22028	2	EAS	2530249
HG01890.mat	2840562	64587	9976	10	AFR	2915124
HG01890.pat	2417014	127594	12790	4	AFR	2557397
HG01928.mat	2552595	143164	25764	12	AMR	2721522
HG01978.pat	3038625	44043	59805	8	AMR	3142472
HG02004.pat	2702618	150812	33468	12	AMR	2886897
HG02011.mat	2774124	22145	21359	9	AFR	2817627
HG02011.pat	3044222	49850	37727	5	AFR	3131798
HG02018.mat	3829385	97313	22691	2	EAS	3949388
HG02018.pat	2446318	116915	26779	12	EAS	2590011
HG02055.pat	2657002	43795	11862	3	AFR	2712658
HG02071.mat	2598787	122191	23386	13	EAS	2744363
HG02071.pat	3085013	26590	3775	11	EAS	3115377
HG02080.mat	1850422	33953	38188	16	EAS	1922562
HG02080.pat	2435167	92550	19302	13	EAS	2547018
HG02106.mat	2526632	149113	33390	12	AMR	2709134
HG02106.pat	3327608	90977	25649	14	AMR	3444233
HG02145.mat	731945	8545	5278	6	AFR	745767
HG02257.pat	2794201	58792	9976	10	AFR	2862968
HG02282.mat	3358913	55562	30505	3	AFR	3444979
HG02282.pat	1334594	8191	945862	7	AFR	2288646
HG02293.mat	2764683	24052	20534	8	AMR	2809268
HG02300.mat	4136642	155716	30809	2	AMR	4323166
HG02300.pat	3356597	36507	24826	8	AMR	3417929
HG02492.mat	2210137	62740	25437	13	SAS	2298313
HG02492.pat	3329088	64921	3588	11	SAS	3397596
HG02554.mat	3063039	63621	33735	15	AFR	3160394
HG02554.pat	2576099	68330	19424	10	AFR	2663852
HG02559.mat	1721524	39521	6358	3	AFR	1767402
HG02559.pat	2116451	66152	39367	6	AFR	2221969
HG02572.mat	2699169	21122	24002	9	AFR	2744292
HG02587.mat	1974588	42315	34279	6	AFR	2051181
HG02587.pat	1719526	12944	41320	7	AFR	1773789
HG02615.mat	3086522	40236	38125	6	AFR	3164882
HG02615.pat	2223248	67133	13423	3	AFR	2303803
HG02622.mat	3162597	67182	33677	15	AFR	3263455
