Haplotype	4-mer	6-mer	8-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	680	17304	2041961	83111	34417	41263	6	EUR	2218735
CHM13.pat	78865	599077	929521	283382	140119	215298	8	EUR	2246261
CPC_P1_13.pat	89738	494123	711066	293567	127732	136076	8	EAS	1852301
CPC_P1_18.mat	149424	1864819	1366098	105180	68177	241536	4	EAS	3795233
CPC_P1_2.mat	124285	1356885	601041	72964	55124	237088	1	EAS	2447386
CPC_P1_23.pat	128348	1152257	516926	69550	45792	284293	1	EAS	2197165
CPC_P1_25.pat	159074	1436573	2506936	335932	165737	111478	9	EAS	4715729
CPC_P1_30.pat	118853	1624534	1146361	89918	44430	218872	4	EAS	3242967
CPC_P1_31.mat	145332	1380350	630883	45804	46137	288704	1	EAS	2537209
CPC_P1_4.mat	91026	404263	364957	15272	18324	278015	1	EAS	1171856
CPC_P1_50.pat	135160	1634603	1203326	91610	49521	247149	4	EAS	3361368
CPC_P1_52.pat	11547	25478	4037688	69548	53927	41985	7	EAS	4240172
CPC_P1_53.mat	84297	600097	841357	298635	128073	171725	8	EAS	2124183
CPC_P1_6.pat	112762	1311744	997160	66165	42232	247662	4	EAS	2777724
CPC_P1_7.pat	93139	660204	981106	358052	150147	175763	8	EAS	2418410
HG00096.mat	67259	984717	580587	47509	28322	196622	5	EUR	1905015
HG00096.pat	116825	1941714	731190	45812	24592	209505	5	EUR	3069637
HG00171.mat	138548	2245146	785433	52596	33423	288218	5	EUR	3543363
HG00171.pat	2038	16286	2298525	64430	29336	35594	6	EUR	2446208
HG002.mat	100531	1651555	664710	44112	25616	203354	5	EUR	2689877
HG002.pat	149356	1264253	633576	69569	49700	276781	1	EUR	2443234
HG00268.mat	137870	2163631	755585	52596	34274	514286	5	EUR	3658241
HG00268.pat	103915	1882729	701341	45807	27648	233518	5	EUR	2994957
HG00358.mat	121570	898775	489776	55986	48341	232995	1	EUR	1847442
HG00358.pat	95857	1191039	2046375	273202	144690	222268	8	EUR	3973430
HG00438.mat	102577	1256693	993056	79738	47146	264636	4	EAS	2743845
HG005.mat	124261	1146211	549461	66162	54953	269308	1	EAS	2210355
HG00512.mat	98568	533888	842694	268106	88550	184861	8	EAS	2016666
HG00512.pat	11546	14263	2511846	66114	56299	40650	7	EAS	2700717
HG00513.mat	123590	1449484	511490	64475	38670	260879	1	EAS	2448587
HG00513.pat	132416	1507531	564400	61071	42740	264973	1	EAS	2573130
HG00621.mat	28547	53986	101757	5090	2036	227169	1	EAS	418584
HG00673.pat	178582	1205296	785520	61083	70728	251289	1	EAS	2552497
HG00731.mat	145274	1253098	586109	52597	53928	243358	1	AMR	2334363
HG00731.pat	104009	540983	845353	319011	123831	204771	8	AMR	2137957
HG00732.mat	680	21378	2191261	122122	34753	37917	6	AMR	2408110
HG00732.pat	129713	1442351	582015	64469	65648	277405	1	AMR	2561600
HG00735.pat	129019	1379246	508763	57669	38847	229186	2	AMR	2342729
HG00741.mat	99147	1228516	394785	44108	33921	173615	2	AMR	1974091
HG00864.pat	101293	561379	785720	325800	135885	139139	8	EAS	2049215
HG01071.mat	146632	948817	598298	54296	51219	131568	1	AMR	1930829
HG01071.pat	162196	728093	444972	40720	30011	356631	2	AMR	1762622
HG01099.mat	90954	855237	443609	47496	26966	183487	2	AMR	1647748
HG01106.mat	114115	1776780	758290	55993	39009	241720	5	AMR	2985906
HG01106.pat	120886	1153872	814030	59383	19674	188144	3	AMR	2355988
HG01114.mat	122359	667362	1028589	325811	121115	538743	8	AMR	2803978
HG01114.pat	108661	1974342	647080	39023	33747	188809	5	AMR	2991661
HG01123.mat	50974	658160	970442	259631	102144	149989	9	AMR	2191339
HG01123.pat	164362	1749742	1362021	105190	63423	256975	4	AMR	3701712
HG01175.pat	74064	828889	614521	40716	28324	240264	5	AMR	1826777
HG01243.mat	91084	197649	449174	232454	97681	202069	8	AMR	1270110
HG01352.mat	82256	482927	671714	319021	138914	182725	8	AMR	1877556
HG01352.pat	139168	1274458	592893	62774	60888	278897	1	AMR	2409077
HG01358.mat	116830	1740579	1151805	91611	61052	261234	4	AMR	3423110
HG01457.mat	155435	1276531	580696	61081	52075	271311	1	AMR	2397128
HG01457.pat	86333	516545	708361	356352	168087	197326	8	AMR	2033003
HG01505.mat	139924	1694685	674254	72953	59202	229272	1	EUR	2870289
HG01505.pat	149403	1536095	671611	54286	64450	229243	1	EUR	2705087
HG01596.mat	69338	660223	823686	274900	117895	187775	8	EAS	2133816
HG01596.pat	149341	1398612	546748	69566	54782	245873	1	EAS	2464921
HG01890.mat	232719	1827456	780077	98395	42912	249714	2	AFR	3231272
HG01890.pat	111334	851193	379875	33937	37651	287219	2	AFR	1701208
HG01891.mat	120884	1082580	780106	57674	19337	246243	3	AFR	2306823
HG01891.pat	211692	1719549	780077	98395	42912	249713	2	AFR	3102337
HG01952.mat	126340	910464	995711	84829	64110	239438	4	AMR	2420891
HG01952.pat	121012	538953	854869	324094	141469	194946	8	AMR	2175342
HG01978.mat	139244	1782315	1299652	103482	63771	248936	4	AMR	3637399
HG01978.pat	69979	843117	571118	32215	12891	203426	5	AMR	1732745
HG02004.mat	141252	1454611	713617	86536	69037	354469	1	AMR	2819521
HG02004.pat	107421	644924	1058411	264702	148256	220553	8	AMR	2444266
HG02011.mat	50276	871070	1373512	295261	98231	119901	9	AFR	2808250
HG02011.pat	35339	1250145	1905297	234213	158713	181034	9	AFR	3764740
HG02018.mat	182862	493118	925508	166285	65649	347626	9	EAS	2181047
HG02018.pat	135908	1220566	1871731	364750	254673	119633	9	EAS	3967260
HG02059.mat	9508	17328	3379434	72885	33925	41961	7	EAS	3555040
HG02059.pat	129702	1593028	569810	78037	53939	250027	1	EAS	2674542
HG02071.mat	114096	1355754	518271	57696	77177	269001	1	EAS	2391994
HG02071.pat	104014	505347	841321	269810	89911	177059	8	EAS	1987461
HG02080.pat	125646	1178400	914423	47506	24598	174298	5	EAS	2464870
HG02106.mat	101970	606207	887506	351264	146751	154066	8	AMR	2247763
HG02106.pat	133126	1497277	678326	66156	50046	308326	1	AMR	2733256
HG02109.pat	140585	1190517	932091	84837	20352	193674	3	AFR	2562055
HG02145.mat	113434	1276467	477545	16970	14590	225696	2	AFR	2124701
HG02148.mat	98574	519589	763984	332575	150802	137935	8	AMR	2003458
HG02148.pat	150101	1796517	1314600	103486	67846	245973	4	AMR	3678522
HG02257.pat	95141	637348	789597	135679	70708	210941	2	AFR	1939413
HG02282.mat	79534	625585	928252	291860	125357	161663	8	AFR	2212250
HG02282.pat	122217	687296	411064	39019	37651	219435	2	AFR	1516681
HG02293.mat	95849	566484	842662	315616	124674	150672	8	AMR	2095956
HG02300.mat	174654	716220	1047612	425874	230875	81008	9	AMR	2676242
HG02300.pat	173864	2147940	1533000	113671	69705	238452	4	AMR	4276631
HG02492.mat	163121	753917	1019186	453002	253608	126437	9	SAS	2769270
