Haplotype	5-mer	7-mer	11-mer	15-mer	19-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	32337	65447	2009858	293159	54904	40961	48732	8	EUR	2545397
CHM13.pat	2550	830513	1037450	61182	6456	9007	13109	8	EUR	1960266
CPC_P1_19.mat	94451	26174	768393	813343	54903	51852	18111	1	EAS	1827226
CPC_P1_4.pat	28082	14262	727300	132579	87216	18016	42573	10	EAS	1050027
CPC_P1_52.pat	22974	22602	992748	175929	61366	28219	35253	10	EAS	1339090
CPC_P1_9.mat	35741	21418	1166662	201426	103347	21588	34437	10	EAS	1584618
CPC_P1_9.pat	35736	21417	1138649	165727	77517	12749	35587	10	EAS	1487381
HG00096.mat	2548	824590	936483	40787	3228	10703	13106	8	EUR	1831444
HG00171.mat	39144	17845	1099269	196334	87206	25995	38458	10	EUR	1504250
HG002.mat	0	569942	695350	17838	0	6285	9467	8	EUR	1298881
HG00268.pat	9360	17841	891776	22946	0	27021	26207	8	EUR	995150
HG00358.pat	17868	19044	596503	68848	71060	33657	40324	10	EUR	847303
HG00438.mat	133595	302317	1727586	1007141	54907	237962	39083	1	EAS	3502590
HG005.pat	22125	23795	977806	150433	64588	14958	31860	10	EAS	1285564
HG00512.mat	37442	39260	1232045	270226	109808	24480	38802	10	EAS	1752062
HG00513.mat	49358	23800	1286247	155538	87213	13767	30863	10	EAS	1646785
HG00513.pat	29784	20219	1140464	211615	74285	5099	35584	10	EAS	1517049
HG00621.mat	39994	20223	1039524	152989	67824	17853	14818	10	EAS	1353224
HG00673.mat	34889	26166	1007706	214162	93667	11899	35591	10	EAS	1424079
HG00731.mat	39145	46394	1232088	170845	96898	31103	28318	10	AMR	1644790
HG00732.mat	49355	21415	962820	191231	41987	39445	32559	10	AMR	1338811
HG00741.mat	17017	15469	523573	81600	48454	26007	30866	10	AMR	742985
HG00741.pat	65511	27367	1333033	201422	125964	15977	33389	10	AMR	1802662
HG00864.pat	85950	17849	1131088	262623	48447	54918	32556	10	EAS	1633430
HG01071.mat	40845	49954	1002188	142786	100128	21928	29002	10	AMR	1386830
HG01099.mat	64667	227400	957268	367138	22609	224166	40814	2	AMR	1904061
HG01114.mat	3400	854330	988844	35689	3228	8494	13106	8	AMR	1907090
HG01123.pat	37443	21416	790845	158081	48442	8669	32157	10	AMR	1097052
HG01175.mat	62973	29743	1273233	239665	106588	33148	7380	10	AMR	1752729
HG01258.mat	45950	32125	1058186	216720	41991	28040	24954	10	AMR	1447965
HG01258.pat	23824	21420	1046962	186131	64600	19551	34138	10	AMR	1396625
