Haplotype	12-mer	15-mer	18-mer	19-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	140822	403043	297011	2414095	452322	480233	1	EUR	4187525
CHM13.pat	106121	257644	440918	2246018	532226	1910028	1	EUR	5492954
CPC_P1_27.mat	6116	489292	12244	655676	213219	1670945	2	EAS	3047491
HG00096.mat	24492	35715	97966	966333	98361	605631	1	EUR	1828497
HG00096.pat	38789	767050	12243	1392419	334155	502625	3	EUR	3047280
HG00171.mat	16331	422901	0	775361	329692	1818272	3	EUR	3362556
HG00171.pat	28574	430542	0	878708	331716	2130226	3	EUR	3799765
HG002.mat	12235	639594	21426	1395223	292923	1054253	2	EUR	3415653
HG002.pat	30626	619288	6122	1292539	338575	1862874	3	EUR	4150023
HG00268.pat	16316	606482	24487	1304798	296872	1198960	2	EUR	3447914
HG00358.mat	110214	191307	309255	2181442	500597	1253679	1	EUR	4546493
HG00358.pat	10200	657450	27523	1304774	358367	926729	2	EUR	3285042
HG00512.mat	0	596303	21427	817062	181925	1392961	2	EAS	3009677
HG00513.mat	171446	255081	333754	2152332	429754	1536905	1	EAS	4879271
HG00621.pat	108168	216804	150034	1227992	287305	1772265	1	EAS	3762567
HG00731.mat	10197	675268	15301	1039943	294140	1488595	2	AMR	3523443
HG00731.pat	12252	639670	0	1343994	388311	1342029	3	AMR	3726255
HG00732.mat	34686	614120	27520	1663408	365579	865366	2	AMR	3570678
HG00732.pat	14281	654876	21422	1233794	261817	2203092	2	AMR	4389281
HG00864.mat	4082	519787	9181	578169	189929	945174	2	EAS	2246321
HG00864.pat	102044	201516	358235	1745224	313109	1192488	1	EAS	3912615
HG01071.mat	12252	639670	0	1343981	388307	1338672	3	AMR	3722881
HG01099.mat	6120	626876	24468	1178855	317978	1744252	2	AMR	3898548
HG01109.pat	34694	7654	97969	930778	112858	642095	1	AMR	1826047
HG01114.pat	4078	619225	27524	1194950	309797	1200639	2	AMR	3356212
HG01352.pat	16321	591171	27532	1453370	325765	1146275	2	AMR	3560433
HG01457.mat	75507	290808	352122	2065173	345071	1673299	1	AMR	4801979
HG01457.pat	16321	583529	27532	1492131	310472	913556	2	AMR	3343540
HG01505.mat	161224	334161	422544	2333309	504716	1218776	1	EUR	4974729
HG01573.mat	104081	193863	309248	1919651	346155	1411086	1	AMR	4284083
HG01596.mat	8157	555492	48952	1152929	249426	1379408	2	EAS	3394363
HG01596.pat	202058	242330	643003	3199423	669962	2056403	1	EAS	7013178
HG01890.mat	97968	181109	434787	2023149	450857	1713972	1	AFR	4901841
HG01890.pat	8161	734097	21406	1760757	403123	871733	3	AFR	3799276
HG01952.mat	12253	660051	3061	1250356	354961	1424051	3	AMR	3704732
HG02004.pat	2042	654872	33657	1156203	293261	1441951	2	AMR	3581985
HG02011.mat	91844	155607	235757	620514	167374	190586	1	AFR	1461681
HG02011.pat	59192	191289	327622	1454350	301298	756907	1	AFR	3090657
HG02018.mat	106124	209159	339875	1903465	402609	1291426	1	EAS	4252657
HG02018.pat	161230	260172	848137	3470977	866110	1027041	1	EAS	6633666
HG02059.mat	2040	568198	9180	410189	159496	1222473	2	EAS	2371575
HG02059.pat	4078	637022	6119	810711	222041	1675524	2	EAS	3355494
HG02071.mat	4082	575872	30584	1366158	299903	1512446	2	EAS	3789044
HG02106.mat	4079	654926	51963	800906	305539	1376132	2	AMR	3193544
HG02106.pat	89802	163256	85732	1370231	239592	1903265	1	AMR	3851877
HG02282.mat	126551	196415	376610	1706386	338951	572878	1	AFR	3317790
HG02282.pat	51027	76528	153100	1111732	195501	2002614	1	AFR	3590501
HG02300.mat	106127	242319	278633	1690186	418284	1603123	1	AMR	4338671
HG02492.mat	22455	504532	12244	1408916	223844	524554	3	SAS	2696544
HG02492.pat	6120	514850	15304	1007630	417265	1095415	2	SAS	3056583
HG02554.mat	140823	262721	150037	1845295	303529	689945	1	AFR	3392349
HG02554.pat	79611	257633	202089	1722575	342756	2181439	1	AFR	4786102
HG02559.mat	100008	186198	162277	895196	272737	694563	1	AFR	2310978
HG02572.mat	34710	583580	18355	2038660	421280	1448964	3	AFR	4545548
HG02587.mat	67354	201512	388865	1551303	340658	1363442	1	AFR	3913133
HG02587.pat	134708	186199	416424	1693475	309008	1351392	1	AFR	4091205
HG02615.pat	24487	227026	21434	1648154	266877	494489	1	AFR	2682466
HG02630.pat	38792	560675	18355	1928837	385729	1714065	3	AFR	4646452
HG02647.mat	93893	186177	140848	1034167	284661	726420	1	AFR	2466165
HG02647.pat	91843	163246	199023	1034158	339275	793296	1	AFR	2620840
HG02666.mat	73485	181096	171462	1076185	240572	1177617	1	AFR	2920416
HG02666.pat	10202	705865	18365	1414606	301773	1010781	2	AFR	3461591
HG02769.mat	112257	165813	309213	1842066	390786	1077270	1	AFR	3897404
HG02769.pat	18374	209082	6124	3131687	442616	963431	1	AFR	4771313
HG02818.mat	71438	206599	342935	1596571	410731	991554	1	AFR	3619827
HG02818.pat	136759	209162	327619	1577125	318582	539360	1	AFR	3108606
HG02953.mat	57151	191300	263327	1826001	451966	2025533	1	AFR	4815277
HG02953.pat	61228	204059	269448	1140848	268675	1014382	1	AFR	2958639
HG03009.mat	12237	428230	64191	2080068	387982	1288480	3	SAS	4261187
HG03009.pat	118377	267824	398046	2349477	466262	2073904	1	SAS	5673889
HG03065.pat	22447	657531	18347	1204780	390382	555197	3	AFR	2848683
HG03098.pat	216340	239779	61244	1208732	164603	208846	1	AFR	2099543
HG03248.mat	100015	178558	125538	1380014	200989	771697	1	AFR	2756810
HG03248.pat	95928	249988	379669	1370308	323284	1104988	1	AFR	3524164
HG03371.mat	81640	193868	39805	1173067	231981	527028	1	AFR	2247388
HG03371.pat	14284	525062	27530	2471294	292209	355669	3	AFR	3686047
HG03452.pat	79601	204058	254143	1751559	296617	1007339	1	AFR	3593316
HG03453.pat	55108	244881	58175	2100475	285524	1325963	1	AFR	4070125
HG03456.mat	28566	300919	64271	1324482	406878	628605	1	AFR	2753720
HG03456.pat	4082	575845	15291	1204634	295124	1120335	2	AFR	3215310
HG03516.pat	95938	122442	58178	2126142	346303	1219041	1	AFR	3968043
HG03520.mat	83677	176003	459283	1813062	416152	1780681	1	AFR	4728857
HG03520.pat	255123	183661	73485	1425294	205271	1167575	1	AFR	3310408
HG03540.mat	10200	188734	9182	649478	292796	753049	1	AFR	1903438
HG03683.mat	49000	621836	24473	1638010	510778	1021026	3	SAS	3865122
HG03683.pat	120418	229576	251076	1800057	410387	1787479	1	SAS	4598992
HG03807.mat	140835	267840	419491	2213738	481007	1904889	1	SAS	5427799
HG03807.pat	153070	211724	263319	2103861	422608	1282442	1	SAS	4437023
HG03927.mat	91843	160698	306183	1683665	337983	375709	1	SAS	2956080
HG03927.pat	10194	621801	33634	1414557	380700	2518276	2	SAS	4979161
HG04036.mat	28571	634516	30589	1314498	288875	1481341	2	SAS	3778389
HG04217.mat	89799	224446	293942	2168522	432572	1304372	1	SAS	4513652
HG04217.pat	138780	244886	486851	2252491	472804	2365329	1	SAS	5961140
NA12329.mat	2042	662506	33658	1062510	284910	1229165	2	EUR	3274790
NA12329.pat	136738	257638	759365	3829708	867463	1253730	1	EUR	7104641
NA18534.mat	22437	652345	36682	1146583	310646	1269322	2	EAS	3438014
NA18534.pat	122453	196415	254134	1525336	392327	1556749	1	EAS	4047413
NA18906.mat	42859	170911	177594	672237	249829	302905	1	AFR	1616334
NA18939.mat	51020	209163	21430	933913	238320	2209549	1	EAS	3663394
NA18939.pat	83675	257632	217389	2242821	357425	1323045	1	EAS	4481986
NA18989.pat	110219	206613	146967	1981020	281836	966425	1	EAS	3693079
NA19036.mat	77557	147949	101046	830609	239252	587778	1	AFR	1984190
NA19036.pat	77569	275489	244956	1926208	424751	2883634	1	AFR	5832606
NA19129.mat	12246	519950	24470	2400237	284731	372267	3	AFR	3613900
NA19129.pat	77568	227016	318435	1958524	425669	2020175	1	AFR	5027386
NA19238.mat	81645	183639	168402	1034164	251627	450408	1	AFR	2169884
NA19238.pat	65307	234670	55114	1415441	242053	689220	1	AFR	2701804
NA19239.pat	79593	145401	410291	1677330	386261	1516489	1	AFR	4215364
NA19317.mat	69393	89280	251078	1098829	238187	1091501	1	AFR	2838267
NA19317.pat	59189	89280	18372	927549	191701	663564	1	AFR	1949654
NA19331.pat	24492	219355	12248	1767615	194206	638233	1	AFR	2856148
NA19347.mat	67352	86729	251078	1066523	235309	667450	1	AFR	2374440
NA19347.pat	42862	193854	278637	1444652	371763	1194196	1	AFR	3525963
NA19434.mat	57145	214254	263323	1144072	270898	1129729	1	AFR	3079420
NA19434.pat	61223	232120	208206	1476963	352444	2012995	1	AFR	4343950
NA19650.pat	114292	204068	394987	2129703	424669	1029450	1	AMR	4297168
NA19705.mat	87770	165780	150030	975989	260315	711595	1	AFR	2351478
