Haplotype	Cluster
HG02554.mat	1
HG02615.mat	1
HG02769.mat	1
HG02809.mat	1
HG03452.mat	1
NA20355.mat	1
HG02809.pat	1
NA21309.pat	1
HG01258.mat	2
HG01978.pat	2
HG02300.pat	2
HG03248.mat	2
HG04217.mat	2
NA18939.mat	2
NA20847.pat	2
HG01071.mat	2
HG01352.pat	2
HG00358.pat	2
HG02071.pat	2
HG03492.pat	2
HG01352.mat	2
HG00741.mat	2
HG02106.pat	2
NA18534.mat	2
HG01596.mat	2
HG02293.pat	2
HG01175.mat	2
HG01358.mat	2
NA20847.mat	2
HG04228.pat	2
HG01258.pat	2
HG02492.mat	2
HG00171.mat	2
HG01361.mat	2
HG03807.pat	2
HG01928.pat	2
NA20509.mat	2
HG00673.mat	2
NA18989.pat	2
HG02282.pat	2
HG03732.mat	2
NA20509.pat	2
HG03710.mat	2
HG01123.pat	2
HG02059.pat	2
HG00731.mat	2
HG01505.pat	2
HG02018.mat	2
HG01573.pat	2
NA19650.pat	2
HG00621.mat	2
HG01457.mat	2
HG01457.pat	2
HG02106.mat	2
HG01505.mat	2
HG01928.mat	2
HG02148.pat	2
HG00741.pat	2
HG01573.mat	2
HG02293.mat	2
NA18989.mat	2
HG02004.pat	2
HG00732.mat	2
HG02300.mat	2
HG00864.pat	2
HG02059.mat	2
HG03516.pat	2
HG01890.mat	2
HG02486.pat	2
HG02769.pat	2
HG02953.pat	3
HG03520.pat	3
HG02587.pat	3
NA19347.mat	3
HG01099.mat	3
HG03456.pat	3
NA20129.pat	3
HG00438.mat	3
HG02071.mat	3
HG01358.pat	3
NA18534.pat	3
NA18906.pat	3
NA19347.pat	3
HG02630.mat	3
HG02615.pat	3
HG03098.mat	3
HG03371.mat	4
HG02666.pat	4
NA21309.mat	4
HG02257.pat	4
HG02282.mat	4
HG02587.mat	4
NA19238.pat	4
HG02145.pat	4
HG02055.pat	4
NA19239.mat	4
HG03248.pat	5
HG03456.mat	5
NA19331.mat	5
NA19317.mat	5
NA19331.pat	5
NA19384.pat	5
NA20355.pat	5
HG01890.pat	5
HG02666.mat	5
HG02647.mat	5
HG02647.pat	5
HG02554.pat	5
HG03540.mat	5
HG03371.pat	5
HG03065.pat	5
HG03486.pat	5
HG03683.pat	6
HG002.mat	6
HG00096.mat	6
HG03009.pat	6
CHM13.pat	6
HG01114.mat	6
NA19983.mat	6
HG02886.mat	6
HG03065.mat	6
NA19983.pat	6
NA19238.mat	6
HG03009.mat	6
NA19317.pat	6
HG02257.mat	6
NA19705.mat	6
CHM1.pat	6
NA19036.pat	6
HG02011.pat	6
NA19036.mat	6
HG00268.pat	6
HG03540.pat	6
