Haplotype	Cluster
HG02492.pat	1
HG04217.mat	1
HG00732.pat	1
HG01114.pat	1
HG01352.mat	1
HG02004.mat	1
HG03683.pat	1
HG01361.pat	1
HG00171.mat	1
HG03927.pat	1
HG03492.mat	2
HG01106.mat	2
HG00358.pat	2
HG01123.pat	2
HG01505.pat	2
HG01243.mat	2
NA20509.pat	2
HG01243.pat	2
NA12329.mat	2
HG002.pat	2
HG01352.pat	2
HG03009.pat	3
HG03683.mat	3
HG00732.mat	3
NA18989.pat	3
HG02106.pat	3
HG03492.pat	3
HG02257.mat	3
NA19705.mat	3
NA19317.pat	3
NA19331.mat	3
HG03065.pat	3
HG03520.pat	3
HG01123.mat	3
HG03248.mat	3
NA20129.pat	3
HG02622.mat	3
HG03371.mat	3
NA19331.pat	3
HG01891.mat	4
HG03807.mat	4
HG04036.mat	4
HG00731.pat	4
HG01952.mat	4
NA19384.pat	4
HG02717.mat	4
HG03540.mat	4
NA19036.mat	5
NA19129.mat	5
HG00741.mat	5
NA12329.pat	5
HG01099.pat	5
NA19983.mat	5
NA19650.pat	5
NA20355.mat	5
NA18906.pat	5
HG00864.pat	5
HG01596.pat	5
HG02559.mat	5
NA18989.mat	5
HG01890.mat	5
HG02953.mat	5
NA19650.mat	5
NA20509.mat	5
HG00358.mat	5
HG00268.pat	5
HG02486.mat	5
CHM1.pat	5
CHM13.pat	5
HG01457.mat	5
HG00171.pat	5
HG01071.mat	5
HG02282.mat	5
HG00741.pat	5
HG02106.mat	5
HG01596.mat	5
HG04228.mat	5
HG01114.mat	5
HG00621.pat	5
HG02018.mat	5
HG002.mat	5
HG01505.mat	5
HG00731.mat	5
HG03710.pat	5
HG03009.mat	5
HG04217.pat	5
HG00621.mat	5
NA18534.mat	5
HG02300.pat	5
HG01109.pat	5
HG03732.mat	5
HG03807.pat	5
HG02071.pat	5
HG03732.pat	5
HG03579.pat	5
HG02647.pat	5
HG02953.pat	5
NA19238.mat	5
HG02109.mat	5
NA19129.pat	5
HG02666.pat	5
NA19347.mat	5
HG02723.mat	5
HG02769.pat	5
HG00864.mat	6
HG02059.pat	6
HG02282.pat	6
HG02559.pat	6
HG02630.pat	6
HG02769.mat	6
NA20355.pat	6
HG03371.pat	6
HG02666.mat	6
HG03098.pat	6
HG03453.pat	6
HG03520.mat	6
HG02257.pat	6
HG02587.mat	6
HG02809.pat	6
HG03579.mat	6
HG03516.mat	6
NA21309.pat	6
HG02622.pat	6
HG02011.pat	6
NA19036.pat	6
HG01890.pat	6
HG02630.mat	6
NA19317.mat	6
HG02018.pat	6
HG02059.mat	6
HG02080.mat	6
NA19347.pat	6
HG02587.pat	6
NA19384.mat	6
HG03452.mat	6
HG02886.pat	6
HG03456.pat	6
HG02011.mat	6
NA19238.pat	6
HG02145.mat	6
HG03456.mat	6
